GASS,AGCnr,SDSS,PLATEID,MJD,FIBERID,ra,dec,MASS_P50,HIMASS_LIM,WARNING,index,mpa_z,model_u,model_g,model_r,model_i,model_z,ext_u,ext_g,ext_r,ext_i,ext_z
46984,720143,J154726.45+180256.5,2167,53889,627,18.049053,0.04572,10.105,8.5,0,757753,0.045718666,18.2744,17.0492,16.3707,16.0208,15.762,0.2233,0.1643,0.1192,0.0904,0.0641
25674,252163,J154727.67+081916.2,1726,53137,300,8.321181,0.04126,11.092,9.29,0,596102,0.0412666,17.1158,15.1878,14.2867,13.8745,13.5603,0.1902,0.1399,0.1015,0.077,0.0546
42334,10035,J154736.32+260349.6,1849,53846,636,26.063784,0.03157,10.73,8.93,0,654841,0.031578906,15.9733,14.5479,13.8926,13.5273,13.2859,0.3105,0.2285,0.1657,0.1257,0.0891
42376,727291,J154738.22+251610.8,1850,53786,339,25.26969,0.04771,10.029,8.5,0,655085,0.047718003,18.5826,17.2005,16.5755,16.2368,15.9309,0.2608,0.1919,0.1392,0.1055,0.0748
47148,720153,J154753.15+235742.4,2169,53556,521,23.961796,0.04282,10.047,8.5,0,758644,0.042812854,19.6928,17.8294,16.9553,16.5226,16.1741,0.29,0.2134,0.1548,0.1174,0.0832
42262,251252,J154754.06+254346.4,1849,53846,32,25.729557,0.04183,11.025,9.23,0,654428,0.04184738,17.3614,15.6232,14.7029,14.2192,13.8718,0.3547,0.261,0.1893,0.1435,0.1018
46893,255411,J154757.79+174921.5,2167,53889,24,17.822649,0.0442,10.207,8.5,0,757279,0.04420872,17.4958,16.0988,15.5439,15.2208,15.0613,0.2028,0.1492,0.1082,0.082,0.0582
25683,252671,J154758.50+090932.8,1726,53137,350,9.159133,0.03896,10.307,8.51,0,596136,0.038980424,18.9335,17.1691,16.302,15.8399,15.4601,0.2042,0.1503,0.109,0.0826,0.0586
42372,727294,J154802.72+252621.6,1850,53786,326,25.439342,0.03282,10.454,8.65,0,655076,0.032814793,17.8169,16.016,15.1812,14.7677,14.4464,0.2908,0.214,0.1552,0.1177,0.0834
42371,727293,J154802.72+251507.8,1850,53786,324,25.252174,0.04218,10.251,8.5,0,655074,0.042185523,17.7893,16.3456,15.7279,15.3819,15.1006,0.2671,0.1965,0.1425,0.1081,0.0766
