GASSID,AGC,PLATEID,MJD,FIBERID,RA,DEC,Z,MASS,SFR_SDSS,SFR,SSFR
112103,0,2232,53827,270,184.1340637207,29.8225746155,0.01298458,9.205132,0.1115039,0.2353608,-9.833399
112104,0,2233,53845,442,186.3338623047,28.3810081482,0.01505315,9.196034,0.3102702,0.5627512,-9.445718
114122,240125,1705,53848,327,212.1476135254,11.9510288239,0.01939964,9.357775,0.2621863,0.5232852,-9.639036
113119,0,2756,54508,580,209.5061950684,19.6857624054,0.01728641,9.902898,0.6720013,0.3784468,-10.32489
108122,0,1185,52642,82,126.2414779663,3.5920336246,0.01387785,9.305467,4.390057,0.0948634,-10.32837
110067,0,1952,53378,121,152.2175140381,32.5384902954,0.01978305,9.048853,0.07902057,0.2830617,-9.596972
124024,219,753,52233,446,5.7379279137,16.2531166077,0.01749597,9.734112,0.2811513,0,NULL
108123,180548,2430,53815,618,133.9706878662,13.5630502701,0.01401317,9.291085,0.1397559,0.5470243,-9.553079
112106,0,516,52017,595,180.9039154053,2.6304657459,0.01928304,9.32598,0.03412401,0.2176366,-9.988248
101028,110202,424,51893,399,19.8873004913,14.8719501495,0.01368817,9.174895,0.7870278,0.5743842,-9.415693
114124,240076,1703,53799,527,211.3800354004,12.4465208054,0.01403904,9.668776,0.5980536,0.6214733,-9.875353
113120,0,531,52028,269,208.8103027344,1.9077550173,0.01476158,9.040638,0.1667286,0.1250775,-9.943459
112107,210992,2655,54184,176,180.1829376221,24.8559799194,0.0155464,9.274121,0.02831197,0.7088572,-9.423563
109114,0,2295,53734,369,146.342376709,23.0713195801,0.0182671,9.11374,0.08230763,2.086539,-8.794313
111078,0,281,51614,628,173.2225341797,0.5679858327,0.01951134,9.014622,0.1815558,0.1452792,-9.852418
113122,0,2770,54510,105,209.6892242432,20.6618747711,0.01613311,9.890594,1.192422,0.5383858,-10.1595
114125,9236,2132,53493,448,216.2358703613,25.0247802734,0.01486924,9.856413,0.2091655,0.9520338,-9.877761
109115,0,2368,53758,323,141.1639099121,17.6632614136,0.01356321,9.342494,0.4874276,0.4330907,-9.705915
110068,200250,1746,53062,391,154.6586151123,13.2265558243,0.01831052,9.632317,0.3311083,0.4899938,-9.942126
113123,0,1808,54176,237,209.6440429688,6.5740704536,0.01733809,9.073612,0.07174639,0.2252025,-9.721039
110069,200241,997,52734,528,154.5637054443,7.0388469696,0.01215169,9.044133,0.3288971,0.6006619,-9.265503
101029,0,396,51816,568,16.8475723267,0.8927118778,0.01848736,9.56051,0.01543441,0.1204844,-10.47958
101030,0,429,51820,125,27.0150184631,12.9346189499,0.01746826,9.098988,0.05184776,0.1394621,-9.954532
113124,0,2104,53852,615,200.7128295898,31.8259334564,0.01782326,9.408229,0.3798132,0.78866,-9.511339
111079,6586,1755,53386,401,174.2579040527,15.5706100464,0.0132499,9.882876,0.3233033,0,NULL
109116,191172,568,52254,390,140.5895996094,4.0612602234,0.01766919,9.560399,0.5296758,0.8708482,-9.620457
114126,8977,2744,54272,149,210.9525146484,15.4023008347,0.01752736,9.94061,0.28725,0.9907948,-9.944626
114127,0,2128,53800,537,214.3911590576,25.1144657135,0.01717068,9.52891,0.1696798,0.4411417,-9.884332
114128,0,2760,54506,379,215.8673248291,18.0286026001,0.0189536,9.153913,0.3344106,0.3169599,-9.652909
124025,102024,753,52233,60,6.402077198,14.1152906418,0.01752605,9.010754,0.6288109,0.5228624,-9.292366
110070,0,2477,54058,352,159.2358856201,23.6148948669,0.01818896,9.031881,0.1898935,0.1193345,-9.955115
114129,732944,2134,53876,211,217.0357666016,26.6827449799,0.01547333,9.225842,0.04400885,0.1219325,-10.13972
113125,0,2028,53818,579,207.3961791992,35.2532577515,0.01726678,9.321402,0.3121045,0.3219724,-9.813583
101031,0,429,51820,128,26.9798603058,12.6919603348,0.01750982,9.168445,0.2442531,0,NULL
108124,4232,2081,53357,548,121.8407974243,17.7519683838,0.01718297,9.605471,0.104095,0.9708307,-9.618327
113126,234304,2242,54153,556,197.0107269287,27.3111362457,0.01959249,9.12149,0.5051148,0.629797,-9.322289
107027,0,891,52584,356,119.5462493896,34.3414344788,0.01980166,9.439022,0.5273271,0.8203202,-9.525039
108125,4257,1265,52705,527,122.5467987061,24.8930530548,0.01392549,9.427691,0.0202843,0.4911481,-9.736479
110071,721999,2348,53757,106,153.4924926758,28.0507221222,0.01571102,9.114738,0.219114,0.2233226,-9.765805
108126,0,1927,53321,489,125.8861083984,21.3380966187,0.01803427,9.679917,2.188972,1.292204,-9.568586
108127,0,1264,52707,521,120.208946228,22.90143013,0.0184592,9.356165,0.1216018,0.3184866,-9.853074
112108,0,517,52024,318,180.8933258057,2.1789464951,0.0193914,9.020529,0.0458448,0.1105435,-9.976995
109118,191236,1196,52733,207,142.7537536621,6.5625667572,0.01814245,9.984833,0.1955915,0.009372897,-12.01296
107028,170340,2264,53682,477,118.5710830688,14.2729988098,0.01530624,9.102471,0.7798123,0.9055274,-9.14557
108129,0,892,52378,11,123.0617675781,35.1570510864,0.01749215,9.471077,0.5753208,0.5659939,-9.718266
108130,0,1926,53317,40,126.587928772,22.8997020721,0.01801139,9.866234,0.386643,0.6197684,-10.074
107029,171860,858,52316,55,117.4835586548,26.0371208191,0.0163058,9.169364,0.123777,0.4009289,-9.566297
101032,0,696,52209,456,20.8723583221,1.2180066109,0.01766607,9.307819,0.01136606,0.07385063,-10.43947
101033,1468,430,51877,638,29.8790416718,13.943769455,0.01525182,9.786661,0.340926,0.5421979,-10.0525
113127,0,2028,53818,380,206.2931365967,35.2190513611,0.01263611,9.801631,0.3732588,1.002573,-9.800515
114130,0,2785,54537,51,213.1245117188,21.5976676941,0.01603314,9.266604,0.1254123,0.5093822,-9.559561
110072,0,2366,53741,181,155.8697052002,21.699010849,0.01339465,9.509477,0.05213148,0.445787,-9.86035
109119,0,568,52254,172,141.5719451904,3.1347746849,0.01386096,9.276632,0.3666402,0.4702601,-9.604294
111081,0,1991,53446,600,179.0967712402,32.0387382507,0.01075696,9.165316,0.1940618,0.2708744,-9.732548
113128,0,2241,54169,541,195.0782318115,27.9370517731,0.01761597,9.686453,0.02208819,0.01451444,-11.52465
111082,6290,1605,53062,296,169.0343780518,11.0486392975,0.01956951,9.235397,0.5179527,0.5767968,-9.474375
124026,0,390,51816,471,5.4408345222,0.5575427413,0.01778472,9.146534,0.07031858,0.1599914,-9.942437
114131,0,1839,53471,328,211.670135498,35.2799377441,0.01406233,9.068064,0.1742569,0.1889798,-9.791648
113129,0,2104,53852,618,200.8339080811,32.0634803772,0.01672368,9.404444,0.2091992,0.4615769,-9.7402
123013,0,384,51821,415,353.2472229004,0.7218925953,0.01733311,9.099771,0.1166622,0.1715206,-9.865454
109120,191362,1235,52734,230,147.865737915,7.2637052536,0.01306903,9.120564,0.05390884,0.2291828,-9.760383
111083,210277,1605,53062,573,170.5746459961,12.7225322723,0.01388683,9.09682,0.09066507,0.2288401,-9.737288
111084,0,278,51900,487,167.493927002,0.181281358,0.01895006,9.161753,0.2926376,0.3955307,-9.564572
111085,0,2504,54179,507,174.0637512207,22.4326534271,0.01188218,9.797927,0.4445597,0.7352946,-9.931465
113130,0,2093,53818,178,198.8584899902,33.1572303772,0.01623989,9.234198,0.1943704,0.1485314,-10.06238
109121,5284,571,52286,464,147.7462615967,4.2732434273,0.01689718,9.669878,0.4258828,0.2190214,-10.32939
111086,0,1755,53386,517,174.8113708496,14.9924259186,0.01427968,9.643174,0.481959,0.9666076,-9.657924
108131,0,2082,53358,213,123.5457382202,18.4392795563,0.01766405,9.075453,0.2966539,0.3060982,-9.589592
108132,180017,2419,54139,411,120.9590835571,10.5485010147,0.01540021,9.270569,0.2439215,0.4603199,-9.607509
109122,190491,1305,52757,146,146.59425354,9.1652297974,0.01994551,9.758535,0.7198137,0.9268674,-9.791518
110073,0,579,52338,98,163.0010681152,3.8358294964,0.01199475,9.053904,0.2545893,NULL,NULL
108133,181122,1932,53350,318,130.7776794434,26.8058834076,0.01720884,9.765596,0.7017785,1.062451,-9.739287
108134,0,1271,52974,430,133.6227264404,32.6355934143,0.01455361,9.097463,0.5350201,0.3285368,-9.580878
102004,0,405,51816,339,32.6381645203,0.7380998731,0.01165467,9.125319,0.204108,0.2644756,-9.702934
107030,0,756,52577,153,117.783493042,34.056388855,0.01585409,9.455061,0.05898615,0.8676825,-9.5167
101034,111930,424,51893,116,21.2275085449,14.2184791565,0.01973011,9.239859,0.2345741,0.3225032,-9.731324
113132,0,2654,54231,16,206.2348175049,20.277261734,0.01825015,9.618812,0.3346109,0.3938289,-10.0235
108135,0,2081,53357,534,121.5052185059,18.0441951752,0.0164805,9.131015,0.02260008,0.08350938,-10.20928
109123,180595,2433,53820,48,135.6726226807,13.1078081131,0.01646783,9.370475,0.7040607,1.032989,-9.35638
108136,0,2419,54139,435,120.2016067505,10.0836029053,0.01367722,9.475818,0.1072779,0.3395106,-9.944964
112109,7806,521,52326,243,189.6496734619,1.4022846222,0.01735859,9.918849,0.3139208,1.117588,-9.870567
