GASS,AGCnr,SDSS,PLATEID,MJD,FIBERID,ra,dec,z,MASS_P50,HIMASS_LIM
26125,200014,J100324.98+120553.5,1744,53055,149,150.85413,12.098216,0.031,10.672,8.87
18744,203414,J100330.10+075017.6,1236,52751,184,150.87543,7.838231,0.03103,10.271,8.5
33603,205986,J100331.71+333823.7,1948,53388,6,150.88214,33.63994,0.04246,10.428,8.63
26128,202709,J100336.17+121402.9,1744,53055,158,150.90074,12.234139,0.04254,10.415,8.62
14875,203623,J100338.11+065126.6,995,52731,572,150.90883,6.8574,0.04902,10.818,9.02
159,204860,J100339.59+002327.4,269,51910,427,150.915,0.390971,0.04455,10.003,8.5
5013,204630,J100340.78+011234.1,501,52235,135,150.91994,1.209495,0.04536,10.11,8.5
8458,201034,J100345.68+034034.8,572,52289,24,150.94037,3.676339,0.02904,10.413,8.61
53794,718304,J100346.41+233143.8,2343,53735,315,150.94337,23.528852,0.04504,10.756,8.96
26192,202946,J100346.81+132340.0,1744,53055,528,150.94507,13.394464,0.04275,10.856,9.06
5040,204463,J100349.30+021616.8,501,52235,481,150.95541,2.271334,0.04441,10.239,8.5
14876,203624,J100351.24+063837.8,995,52731,584,150.96353,6.643836,0.04856,10.579,8.78
5014,204632,J100351.99+010542.9,501,52235,136,150.96664,1.09526,0.04558,10.272,8.5
175,204861,J100354.77+003457.6,269,51910,478,150.97826,0.582693,0.04475,10.41,8.61
14908,203625,J100355.17+063557.9,996,52641,356,150.97989,6.59944,0.04873,10.293,8.5
5042,201251,J100357.13+022504.8,501,52235,490,150.98808,2.418016,0.02658,10.418,8.62
8530,204057,J100401.62+040304.2,572,52289,636,151.00676,4.051177,0.0441,10.088,8.5
33724,205999,J100401.64+320504.8,1949,53433,78,151.00685,32.08467,0.04926,10.584,8.78
5020,204633,J100402.79+013741.9,501,52235,166,151.01164,1.628333,0.04522,10.116,8.5
53808,721881,J100404.78+240745.6,2343,53735,396,151.01991,24.129349,0.04476,10.099,8.5
33967,206004,J100406.84+320337.5,1952,53378,316,151.0285,32.060417,0.04868,10.192,8.5
14880,203626,J100408.95+064721.1,995,52731,612,151.03732,6.789213,0.04901,10.399,8.6
53959,721887,J100412.59+283102.6,2345,53757,542,151.05249,28.51739,0.04988,10.347,8.55
171,204868,J100414.34+003029.1,269,51910,470,151.05978,0.508102,0.04615,10.462,8.66
14878,203628,J100417.09+060822.7,995,52731,598,151.07121,6.139654,0.04022,10.538,8.74
169,204869,J100420.02+002835.8,269,51910,464,151.08344,0.476638,0.04552,10.46,8.66
26117,202712,J100420.76+122257.9,1744,53055,117,151.08652,12.38277,0.03629,10.002,8.5
160,204871,J100421.81+003203.1,269,51910,430,151.0909,0.534202,0.0472,10.502,8.7
174,204874,J100427.09+003126.4,269,51910,477,151.11288,0.524006,0.04664,11.099,9.3
5016,201905,J100433.47+014715.8,501,52235,148,151.13947,1.787749,0.03102,10.605,8.81
5015,201906,J100438.73+015322.4,501,52235,145,151.1614,1.889578,0.03035,10.459,8.66
162,204877,J100440.83+002211.6,269,51910,437,151.17015,0.3699,0.04461,10.759,8.96
14907,203416,J100447.55+065811.3,996,52641,339,151.19817,6.969812,0.0476,10.786,8.99
26116,200036,J100449.74+115446.6,1744,53055,112,151.20728,11.912948,0.03098,10.57,8.77
33877,206029,J100450.64+350657.3,1951,53389,272,151.211,35.115917,0.03934,10.402,8.6
18776,202176,J100453.04+084457.7,1236,52751,498,151.22102,8.749386,0.0322,10.013,8.5
33875,206034,J100457.71+350840.2,1951,53389,223,151.2405,35.144527,0.03829,10.927,9.13
26118,202715,J100459.97+121819.2,1744,53055,118,151.24988,12.305338,0.03121,10.093,8.5
26197,202947,J100500.19+130911.6,1744,53055,575,151.25081,13.153238,0.04288,10.567,8.77
33968,206037,J100503.89+320108.4,1952,53378,320,151.26622,32.019,0.04882,10.017,8.5
8459,204249,J100504.45+033734.9,572,52289,33,151.26859,3.626364,0.02879,10.022,8.5
14904,203858,J100507.46+051659.5,996,52641,281,151.28111,5.283207,0.04468,10.505,8.71
33716,206040,J100510.27+312626.8,1949,53433,16,151.29283,31.440788,0.04979,10.22,8.5
18767,203251,J100511.16+085322.7,1236,52751,407,151.29652,8.889664,0.04372,10.112,8.5
8553,204251,J100511.73+032114.9,573,52325,203,151.29887,3.354148,0.04493,10.129,8.5
180,201909,J100513.78+002830.1,269,51910,497,151.30742,0.475031,0.03272,10.086,8.5
53812,718326,J100519.92+234901.2,2343,53735,439,151.33302,23.817001,0.04555,10.53,8.73
26105,200042,J100522.96+114344.3,1744,53055,60,151.34567,11.728983,0.03094,10.242,8.5
20547,202486,J100527.49+110715.4,1308,53053,467,151.36456,11.120963,0.03119,10.744,8.94
14831,203859,J100530.26+054019.4,995,52731,62,151.37611,5.672074,0.04439,11.212,9.41
53809,721913,J100534.53+242112.8,2343,53735,409,151.3939,24.35356,0.04572,10.809,9.01
5090,204640,J100537.63+015031.3,502,51957,319,151.40683,1.842046,0.04562,10.67,8.87
33965,206051,J100538.38+315144.8,1952,53378,311,151.40994,31.862467,0.04894,10.323,8.52
20522,203142,J100540.38+093512.4,1308,53053,219,151.41829,9.5868,0.03194,10.182,8.5
5051,201270,J100547.02+021447.8,501,52235,560,151.44595,2.246615,0.04601,11.186,9.39
5095,208449,J100547.05+021438.8,502,51957,351,151.44608,2.244119,0.04529,10.946,9.15
20516,202294,J100548.06+103257.0,1308,53053,180,151.45026,10.549186,0.0427,10.319,8.52
55267,718329,J100551.32+204814.7,2364,53737,170,151.46387,20.804104,0.03801,10.667,8.87
26206,200052,J100552.98+130845.3,1744,53055,611,151.47078,13.145938,0.03004,10.316,8.52
33815,200046,J100554.97+290820.9,1950,53436,37,151.47906,29.139154,0.04979,10.447,8.65
53926,721918,J100555.28+274629.1,2345,53757,77,151.48036,27.774755,0.04901,10.819,9.02
26108,202717,J100557.20+120613.9,1744,53055,74,151.48836,12.103881,0.04285,10.568,8.77
5049,204472,J100557.76+023459.6,501,52235,550,151.49068,2.583242,0.04413,10.358,8.56
34012,200053,J100603.53+292609.6,1953,53358,225,151.51471,29.436005,0.04957,10.608,8.81
14901,205348,J100618.39+060626.5,996,52641,261,151.57666,6.107368,0.0313,10.897,9.1
53817,718333,J100620.10+234540.9,2343,53735,474,151.58377,23.761387,0.04408,10.153,8.5
8546,204256,J100623.93+031005.1,573,52325,135,151.59972,3.1681,0.04368,10.2,8.5
